nome_mun,ibge,faixa_de_porte_populacional_segundo_o_ibge_2022,indice_de_vulnerabilidade_social,ano,desp_final,estimado,tx_mort,tx_inter,inv_tx_mort,inv_tx_inter,tx_sobrev_mort,tx_sobrev_inter,ef_bcc,ef_ccr,ef_scale,v_desp_por_hab,v_tx_mort,v_tx_inter,uf,peer1,mun_ref,peer2,peer3,categorizacao_mort,categorizacao_inter,categorizacao_desp,ef_bcc_corrigido
Pariquera-Açu,353620,1-Até 20mil hab.,4,2022,149939.84390909094,não,514.6749285636428,752.971255277207,0.00194297399096319,0.00132807194563071,193.29739909631985,131.80719456307122,0.502,0.146,0.291,106275.70812853564,255.4,521.2,SP,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5449032
Parisi,353625,1-Até 20mil hab.,5,2022,168594.72222222222,não,296.2208482331289,642.1579440188445,0.00337585961948562,0.00155724928627629,336.5859619485626,154.7249286276297,0.875,0.227,0.259,124930.58644166686,37,410.4,SP,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.7521388666666662
Parnaguá,220760,1-Até 20mil hab.,1,2022,62406.01909766494,sim,259.2279778913868,1929.06486999818,0.00385760830344858,5.183858850744316e-4,384.76083034485856,50.83858850744316,1,0.7,0.7,18741.883317130163,0,1697.3,PI,430155,GO-Abadia de Goiás (100%),NA,NA,5% menores,5% maiores,Entre 5% menores e 5% maiores,0.8516532666666671
Parnamirim,261040,1-Até 20mil hab.,2,2022,63284.5775210084,não,440.1015543417181,434.22023394596226,0.00227220283621981,0.00230297881541017,226.2202836219813,229.2978815410172,0.588,0.406,0.69,19620.44174047316,180.9,202.5,PE,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5914745666666669
Parnamirim,240325,4-Acima de 100mil hab.,4,2022,54446.93323292283,não,348.0146037264399,258.0944375231841,0.00287344263514314,0.00387455076365282,286.3442635143149,386.4550763652827,0.898,0.72,0.802,10782.797452341329,88.8,26.3,RN,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.853840466666668
Parnarama,210780,2-Acima de 20mil até 50mil hab.,1,2022,46488.1189102564,não,402.6377792738979,1408.8804419276014,0.00248362188417431,7.097834353011676e-4,247.36218841743147,69.97834353011676,0.643,0.604,0.939,2823.983129701122,143.4,1177.1,MA,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.668413566666665
Parnaíba,220770,4-Acima de 100mil hab.,3,2022,59125.11840209002,não,446.8439257012756,758.0982598840017,0.00223791785561502,0.00131909021945652,222.79178556150288,130.90902194565282,0.579,0.428,0.739,15460.98262153473,187.6,526.3,PI,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5680110666666672
Parobé,431405,3-Acima de 50mil até 100mil hab.,5,2022,97120.1125,não,541.8379492488793,1129.4198920872373,0.00184557025100631,8.854102951489004e-4,183.55702510063128,87.54102951489004,0.477,0.214,0.449,53455.97671946202,282.6,897.7,RS,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.4865065333333335
Pará de Minas,314710,3-Acima de 50mil até 100mil hab.,4,2022,54641.3220334524,não,401.99651595421193,474.7775969322983,0.00248758374839721,0.00210624933960941,247.75837483972165,209.62493396094183,0.644,0.515,0.8,10977.18625289712,142.8,243,MG,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6415826333333341
Passa Quatro,314760,1-Até 20mil hab.,4,2022,43948.138538461535,não,487.48942047275114,854.5758640044703,0.00205132656833913,0.00117017112478941,204.13265683391305,116.01711247894184,0.531,0.527,0.992,284.0027579184028,228.3,622.8,MG,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5453383000000012
